Name,MOLECULAR_FORMULA,Exact_mass,RT1,RT2,CAS,Synonyms,DTXSID,IUPACname,DTXCID,CASRN,PREFERRED_NAME,SMILES,MONOISOTOPIC_MASS_mass
Benzyltributylammonium chloride,C19H34N,276.2691251,10.442,,23616-79-7,STD,DTXSID00885238,Benzyl trialkyl ammonium compound C4:C4:C4 (BTAAC C4:C4:C4),DTXCID801024631,23616-79-7,VJGNLOIQCWLBJR-UHFFFAOYSA-M,[Cl-].CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1,311.2379778
Tetrapropylammonium bromide,C12H28N,186.2221749,6,,1941-30-6,STD,DTXSID9026130,Tetrapropylammonium bromide,DTXCID706130,1941-30-6,BGQMOFGZRJUORO-UHFFFAOYSA-M,[Br-].CCC[N+](CCC)(CCC)CCC,265.140513
C18-ATMAC,C21H46N,312.3630255,15.039,,112-03-8,STD,DTXSID1026902,"N,N,N-Trimethyloctadecan-1-aminium chloride",DTXCID206902,112-03-8,VBIIFPGSPJYLRR-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,347.3318782
C16-ATMAC,C19H42N,284.3317253,14.168,16.634,112-02-7,STD,DTXSID6026901,Hexadecyl trimethyl ammonium chloride,DTXCID806901,112-02-7,WOWHHFRSBJGXCM-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C,319.3005781
C14-ATMAC,C17H38N,256.3004252,12.977,,3/4/4574,STD,DTXSID9041289,Myristyltrimethylammonium chloride,DTXCID7021289,3/4/4574,CEYYIKYYFSTQRU-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C,291.2692779
C12-ATMAC,C15H34N,228.2691251,11.568,13.491,112-00-5,STD,DTXSID1026900,Dodecyltrimethylammonium chloride,DTXCID406900,112-00-5,DDXLVDQZPFLQMZ-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCC[N+](C)(C)C,263.2379778
C10-ATMAC,C13H30N,200.237825,9.992,,2082-84-0,STD,DTXSID80883792,"1-Decanaminium, N,N,N-trimethyl-, bromide (1:1)",DTXCID401023279,2082-84-0,PLMFYJJFUUUCRZ-UHFFFAOYSA-M,[Br-].CCCCCCCCCC[N+](C)(C)C,279.156163
C8-ATMAC,C11H26N,172.2065248,8.114,,10108-86-8,STD,DTXSID90905939,"N,N,N-Trimethyloctan-1-aminium chloride",DTXCID001335040,10108-86-8,AQZSPJRLCJSOED-UHFFFAOYSA-M,[Cl-].CCCCCCCC[N+](C)(C)C,207.1753775
C18-DDAC,C38H80N,550.6290766,20.456,,3700-67-2,STD,DTXSID60884005,Dimethyldioctadecylammonium bromide,DTXCID701023480,3700-67-2,PSLWZOIUBRXAQW-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,629.547415
C16-DDAC,C34H72N,494.5664763,17.756,,70755-47-4,STD,DTXSID70904485,Dihexadecyldimethylammonium bromide,DTXCID301333631,70755-47-4,VIXPKJNAOIWFMW-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,573.484814
